Fare_Per_Person,Sex_male,Ticket,Fare,SibSp,Survived
4.4678571428571425,False,347082,31.275,4,0
21.878133333333334,True,S.O.C. 14879,65.6344,2,0
8.05,True,A4. 54510,8.05,0,0
15.0354,True,237736,30.0708,1,0
13.0,False,27267,13.0,0,1
32.8172,True,35281,65.6344,0,0
5.62085,True,2651,11.2417,1,1
7.75,True,370372,7.75,0,0
7.1417,True,C 17369,7.1417,0,1
7.452766666666666,False,2668,22.3583,1,1
6.975,True,347061,6.975,0,0
7.8958,True,349241,7.8958,0,0
7.05,True,SOTON/O.Q. 3101307,7.05,0,0
7.25,False,A/5. 3337,14.5,1,0
13.0,False,228414,26.0,1,1
13.0,True,C.A. 29178,13.0,0,0
15.0458,True,SC/PARIS 2133,15.0458,0,0
8.7611,False,11752,26.2833,0,1
26.55,True,113803,53.1,1,0
9.2167,True,7534,9.2167,0,0
65.6344,True,PC 17593,65.6344,0,0
5.081933333333333,False,2678,15.2458,0,0
7.75,False,347081,7.75,0,1
7.925,False,STON/O2. 3101279,15.85,1,1
6.75,True,365222,6.75,0,0
11.5,True,231945,11.5,0,0
12.25,True,C.A. 33112,36.75,1,0
7.7958,True,350043,7.7958,0,1
6.875,False,W./C. 6608,34.375,2,0
8.666666666666666,True,230080,26.0,0,0
13.0,True,244310,13.0,0,0
12.525,True,S.O.P. 1166,12.525,0,0
32.8172,False,113776,65.6344,1,1
8.05,True,A.5. 11206,8.05,0,0
4.833333333333333,True,A/5. 851,14.5,0,0
7.3125,True,Fa 265302,7.3125,0,0
30.6896,True,PC 17597,61.3792,0,0
7.7333,False,35851,7.7333,0,1
8.05,True,SOTON/OQ 392090,8.05,0,0
8.6625,True,315037,8.6625,0,0
5.966763636363637,True,CA. 2343,65.6344,8,0
8.05,True,371362,16.1,0,0
15.75,False,C.A. 33595,15.75,0,1
7.775,True,347068,7.775,0,0
8.6625,True,315093,8.6625,0,0
6.614583333333333,True,3101295,39.6875,4,0
6.841666666666666,True,363291,20.525,0,1
27.5,False,113505,55.0,0,1
4.6499999999999995,False,347088,27.9,1,0
25.925,True,PC 17318,25.925,0,0
56.4958,True,1601,56.4958,0,0
33.5,True,111240,33.5,0,0
4.854166666666667,True,382652,29.125,4,0
3.7111,False,347742,11.1333,1,1
7.925,True,STON/O 2. 3101280,7.925,0,0
30.6958,True,17764,30.6958,0,0
2.6180666666666665,True,350404,7.8542,1,0
5.0933399999999995,True,4133,25.4667,3,0
28.7125,False,PC 17595,28.7125,0,0
13.0,True,250653,13.0,0,0
0.0,True,LINE,0.0,0,0
5.966763636363637,False,CA. 2343,65.6344,8,0
15.05,True,SC/PARIS 2131,15.05,0,0
4.483928571428572,True,347077,31.3875,4,0
9.75,True,230136,39.0,2,1
7.341666666666666,False,315153,22.025,0,1
50.0,True,113767,50.0,0,0
7.75,False,370365,15.5,1,1
26.55,True,111428,26.55,0,1
5.166666666666667,True,364849,15.5,1,0
7.8958,True,349247,7.8958,0,0
13.0,False,234604,13.0,0,1
13.0,True,28424,13.0,0,0
3.9271,False,350046,7.8542,1,1
8.666666666666666,True,230080,26.0,1,1
27.7208,False,PC 17610,27.7208,0,1
65.6344,False,PC 17569,65.6344,0,1
7.75,True,368703,7.75,0,0
4.2021,True,4579,8.4042,0,0
7.75,False,370370,7.75,0,1
13.0,False,248747,13.0,0,0
9.5,True,345770,9.5,0,0
5.966763636363637,True,CA. 2343,65.6344,8,0
6.4958,True,3101264,6.4958,0,0
7.225,True,2628,7.225,0,0
8.05,True,A/5 3540,8.05,0,1
5.23125,False,347054,10.4625,0,0
7.925,True,3101278,15.85,1,0
18.7875,True,2699,18.7875,0,1
7.75,False,367231,7.75,0,1
31.0,True,112277,31.0,0,1
7.05,True,SOTON/O.Q. 3101311,7.05,0,0
21.0,False,F.C.C. 13528,21.0,0,1
7.25,True,A/5 21174,7.25,0,0
13.0,True,250646,13.0,0,0
3.875,True,367229,7.75,1,0
32.8172,False,35273,65.6344,1,1
7.925,False,STON/O2. 3101283,7.925,0,1
13.5,True,243847,27.0,1,0
65.6344,False,11813,65.6344,0,1
10.5,True,W/C 14208,10.5,0,0
8.05,True,SOTON/OQ 392089,8.05,0,1
13.0,True,220367,13.0,0,0
8.05,True,21440,8.05,0,0
7.8958,True,349234,7.8958,0,0
32.8172,True,19943,65.6344,1,1
9.35,True,PP 4348,9.35,0,0
10.5,True,SW/PP 751,10.5,0,1
7.25,True,A/5 21173,7.25,0,0
13.0,True,236171,13.0,0,0
5.0933399999999995,False,4133,25.4667,3,0
32.8172,False,36973,65.6344,1,1
7.775,True,347067,7.775,0,0
13.5,True,237442,13.5,0,0
4.483928571428572,False,347077,31.3875,4,1
10.5,True,C.A. 29566,10.5,0,0
7.55,False,W./C. 6609,7.55,0,0
13.0,True,26707,26.0,1,0
8.75,False,C.A. 31921,26.25,0,1
10.5,True,28665,10.5,0,0
12.275,True,SCO/W 1585,12.275,0,0
7.2271,False,2665,14.4542,1,0
7.75,False,367230,15.5,1,1
10.5,True,W./C. 14263,10.5,0,0
7.125,True,STON/O 2. 3101275,7.125,0,0
7.225,True,2694,7.225,0,0
21.878133333333334,True,19928,65.6344,2,0
7.775,False,347071,7.775,0,0
4.833333333333333,False,250649,14.5,0,1
17.518066666666666,True,11751,52.5542,1,1
13.0,True,244252,26.0,1,0
7.25,True,362316,7.25,0,0
3.4875000000000003,False,347054,10.4625,1,0
26.55,True,113514,26.55,0,0
8.05,True,A/5. 3336,16.1,1,0
6.7375,False,370129,20.2125,0,0
5.081933333333333,False,2650,15.2458,0,1
65.6344,False,PC 17585,65.6344,0,1
65.6344,False,110152,65.6344,0,1
65.6344,False,PC 17755,65.6344,0,1
13.0,False,230433,26.0,0,1
7.75,True,384461,7.75,0,0
4.483928571428572,True,347077,31.3875,4,1
21.878133333333334,True,110413,65.6344,1,0
0.0,True,112059,0.0,0,0
7.75,False,382649,7.75,0,0
10.5,True,C.A. 17248,10.5,0,0
6.614583333333333,True,3101295,39.6875,4,0
3.8875,True,347083,7.775,1,1
32.8172,False,PC 17582,65.6344,0,1
65.6344,False,PC 17760,65.6344,0,1
31.0,True,113798,31.0,0,0
0.0,True,LINE,0.0,0,1
9.75,False,250644,19.5,0,1
14.85,True,PC 17596,29.7,0,0
7.75,False,370375,7.75,0,1
32.8172,False,13502,65.6344,1,1
7.75,False,347073,7.75,0,0
0.0,True,239853,0.0,0,0
4.854166666666667,True,382652,29.125,4,0
6.75,False,C.A. 2673,20.25,1,1
7.75,True,336439,7.75,0,0
7.8542,True,347464,7.8542,0,0
9.5,True,345778,9.5,0,0
8.05,True,A/5. 10482,8.05,0,1
26.0,True,113056,26.0,0,0
8.6625,True,349239,8.6625,0,0
9.5,True,345774,9.5,0,1
7.8958,True,349206,7.8958,0,0
13.0,True,237798,13.0,0,1
7.75,False,370373,7.75,0,1
65.6344,False,19877,65.6344,0,1
32.8172,False,11967,65.6344,1,1
12.875,True,SC/Paris 2163,12.875,0,0
8.85,False,349236,8.85,0,0
7.8958,True,349233,7.8958,0,0
27.7208,True,PC 17612,27.7208,0,0
7.2292,True,2693,7.2292,0,0
16.4086,False,113781,65.6344,1,0
30.5,True,19988,30.5,0,1
32.8172,False,PC 17558,65.6344,0,1
7.75,False,9234,7.75,0,1
7.75,True,367226,23.25,2,1
0.0,True,LINE,0.0,0,0
12.35,False,226593,12.35,0,1
8.05,True,A/5 2466,8.05,0,0
16.4086,True,113781,65.6344,1,1
65.6344,False,17421,65.6344,0,1
32.8172,False,PC 17758,65.6344,1,1
12.0,True,P/PP 3381,24.0,1,0
56.9292,False,PC 17485,56.9292,0,1
65.6344,False,11767,65.6344,0,1
13.12688,False,PC 17608,65.6344,2,1
8.666666666666666,False,250651,26.0,1,0
7.8958,True,349243,7.8958,0,0
8.75,True,F.C.C. 13529,26.25,1,0
7.8542,False,347470,7.8542,0,1
13.0,False,244367,26.0,1,1
14.0,True,29011,14.0,0,0
21.878133333333334,False,36928,65.6344,0,1
21.878133333333334,False,16966,65.6344,1,1
7.25,True,A/5 21172,7.25,0,0
7.8958,True,349219,7.8958,0,0
12.35,False,234818,12.35,0,1
9.666666666666666,False,248738,29.0,1,1
5.966763636363637,True,CA. 2343,65.6344,8,0
65.6344,False,PC 17760,65.6344,0,1
6.2375,True,345364,6.2375,0,0
13.0,False,28551,13.0,0,1
6.841666666666666,False,363291,20.525,1,1
28.9896,False,111361,57.9792,0,1
7.75,False,367226,23.25,2,1
28.5,True,113043,28.5,0,0
32.8172,True,PC 17582,65.6344,0,0
6.0,True,345764,18.0,2,0
32.8172,False,PC 17611,65.6344,1,1
7.8958,True,349225,7.8958,0,0
32.8172,True,113776,65.6344,1,0
65.6344,False,16966,65.6344,0,1
8.05,True,7598,8.05,0,1
35.5,True,113784,35.5,0,0
8.666666666666666,True,230080,26.0,1,1
10.939066666666667,False,19950,65.6344,3,1
13.0,True,248740,13.0,0,0
13.0,True,244361,13.0,0,0
13.0,True,229236,13.0,0,0
13.0,False,248733,13.0,0,1
13.0,False,31418,13.0,0,1
8.05,False,386525,16.1,1,1
5.3,True,C.A. 37671,15.9,1,1
8.6625,True,315088,8.6625,0,0
9.225,True,7267,9.225,0,0
35.0,True,113510,35.0,0,0
2.409733333333333,True,2695,7.2292,1,0
8.9,True,349237,17.8,1,0
7.225,True,2647,7.225,0,0
9.5,True,345783,9.5,0,0
27.5,False,113505,55.0,0,1
13.0,False,237671,13.0,0,0
7.8792,False,330931,7.8792,0,1
7.8792,False,330980,7.8792,0,1
4.6499999999999995,True,347088,27.9,1,0
13.8604,True,SC/PARIS 2167,27.7208,1,0
7.2271,False,2691,14.4542,0,0
7.05,True,SOTON/O.Q. 3101310,7.05,0,0
7.75,True,370365,15.5,1,0
7.25,True,C 7076,7.25,0,0
32.8172,False,110813,65.6344,1,1
7.2292,False,2626,7.2292,0,1
7.75,False,14313,7.75,0,1
65.6344,False,PC 17477,65.6344,0,1
27.72085,True,11765,55.4417,1,1
3.2479,True,3101267,6.4958,1,0
8.05,True,323951,8.05,0,0
65.6344,True,PC 17760,65.6344,0,0
4.215,False,349909,21.075,3,0
32.8172,False,PC 17604,65.6344,1,1
7.25,False,C 7077,7.25,0,1
21.878133333333334,True,113503,65.6344,0,0
4.0125,True,2648,4.0125,0,0
7.775,True,347069,7.775,0,0
65.6344,False,PC 17757,65.6344,0,1
5.247233333333333,False,2653,15.7417,0,1
7.925,True,STON/O 2. 3101293,7.925,0,0
26.0,False,113789,52.0,1,1
7.8958,True,349227,7.8958,0,0
65.6344,True,S.O.C. 14879,65.6344,0,0
5.8625,True,CA 2144,46.9,5,0
13.0,False,27849,13.0,0,1
7.7292,True,367655,7.7292,0,0
12.0,False,SC 1748,12.0,0,1
16.4086,True,113760,65.6344,1,1
7.7958,True,350034,7.7958,0,1
2.6416666666666666,True,3101277,7.925,2,0
32.8172,False,35273,65.6344,1,1
5.566666666666666,False,PP 9549,16.7,0,1
7.7958,True,350052,7.7958,0,0
7.8542,False,350407,7.8542,0,0
26.0,True,28403,26.0,0,0
10.5,True,244278,10.5,0,0
12.65,False,240929,12.65,0,1
7.925,True,STON/O 2. 3101289,7.925,0,1
8.05,True,341826,8.05,0,0
4.9125,False,4137,9.825,1,0
7.925,True,STON/O2. 3101279,15.85,1,0
8.6625,False,315096,8.6625,0,0
10.5,True,28664,21.0,1,0
7.75,True,347064,7.75,0,0
6.25,True,29106,18.75,1,1
7.775,True,312992,7.775,0,0
5.0933399999999995,False,4133,25.4667,3,0
7.8958,True,349222,7.8958,0,0
6.8583,True,394140,6.8583,0,0
32.8172,False,19928,65.6344,1,1
0.0,True,239853,0.0,0,0
7.925,True,STON/O 2. 3101269,7.925,0,1
8.05,False,343095,8.05,0,0
10.833333333333334,False,28220,32.5,1,1
4.333333333333333,False,250652,13.0,0,1
13.0,True,28228,13.0,0,0
8.049999999999999,False,345773,24.15,0,0
7.8958,True,349254,7.8958,0,0
7.7333,True,A/5. 13032,7.7333,0,0
7.875,True,315082,7.875,0,0
4.8,False,347080,14.4,1,0
6.7375,True,370129,20.2125,1,0
7.25,True,A/4. 34244,7.25,0,0
13.0,False,2003,26.0,1,1
26.0,False,250655,26.0,0,1
7.75,True,364851,7.75,0,0
8.05,True,SOTON/O.Q. 392078,8.05,0,1
26.55,True,110564,26.55,0,1
8.05,False,376564,16.1,1,1
13.0,False,SC/AH 3085,26.0,1,1
7.125,True,STON/O 2. 3101274,7.125,0,0
27.95,True,13507,55.9,1,0
16.4086,False,113760,65.6344,1,1
6.875,False,W./C. 6608,34.375,2,0
3.125,False,29106,18.75,2,1
10.939066666666667,True,19950,65.6344,1,0
10.5,True,C.A. 18723,10.5,0,0
8.75,False,F.C.C. 13529,26.25,1,1
9.5,True,345769,9.5,0,0
3.8875,True,347076,7.775,1,0
13.0,False,230434,13.0,0,1
8.1125,True,65306,8.1125,0,1
21.878133333333334,True,33638,65.6344,0,1
9.75,False,250644,19.5,0,1
26.55,True,113794,26.55,0,1
4.814575,False,2666,19.2583,2,1
30.5,True,113786,30.5,0,1
6.9375,True,C.A. 34651,27.75,1,0
9.98335,True,65303,19.9667,1,0
27.75,True,113051,27.75,0,0
32.8172,True,17453,65.6344,1,1
8.05,True,A/5 2817,8.05,0,0
7.8958,True,349240,7.8958,0,1
26.55,True,13509,26.55,0,0
25.93125,False,17464,51.8625,1,1
10.5,False,F.C.C. 13531,10.5,0,1
7.75,True,371060,7.75,0,0
26.55,True,19952,26.55,0,1
8.05,True,364506,8.05,0,0
38.5,True,111320,38.5,0,0
13.0,True,234360,13.0,0,0
8.05,True,A/S 2816,8.05,0,0
7.05,True,SOTON/O.Q. 3101306,7.05,0,0
0.0,True,239853,0.0,0,0
26.55,True,113792,26.55,0,0
7.725,True,36209,7.725,0,0
4.814575,False,2666,19.2583,2,1
7.25,True,323592,7.25,0,0
8.6625,True,315089,8.6625,0,0
6.9375,False,C.A. 34651,27.75,1,1
13.7917,False,SC/AH Basle 541,13.7917,0,1
9.8375,False,7553,9.8375,0,0
52.0,True,110465,52.0,0,0
10.5,True,31027,21.0,1,0
3.5229,True,3460,7.0458,1,0
7.5208,True,350060,7.5208,0,0
6.14375,False,3101298,12.2875,0,1
5.8625,True,CA 2144,46.9,5,0
0.0,True,239854,0.0,0,0
8.05,True,A/5 3594,8.05,0,0
9.5875,False,4134,9.5875,0,1
32.8172,True,11967,65.6344,1,1
5.0933399999999995,False,4133,25.4667,3,0
32.8172,False,19943,65.6344,1,1
29.7,True,11771,29.7,0,0
8.05,True,A.5. 18509,8.05,0,0
5.3,True,C.A. 37671,15.9,1,1
9.98335,True,65304,19.9667,1,0
7.25,True,SOTON/OQ 3101317,7.25,0,0
30.5,True,113787,30.5,0,0
49.5042,True,PC 17609,49.5042,0,0
8.05,True,A/4 45380,8.05,0,0
14.4583,True,2627,14.4583,0,0
32.8172,False,36947,65.6344,1,1
15.1,True,C.A. 6212,15.1,0,0
16.4086,False,113781,65.6344,1,0
7.7958,True,350035,7.7958,0,0
8.6625,True,315086,8.6625,0,0
7.75,False,364846,7.75,0,0
7.6292,False,330909,7.6292,0,0
9.5875,False,4135,9.5875,0,0
65.6344,False,110152,65.6344,0,1
32.8172,True,PC 17758,65.6344,1,0
8.666666666666666,False,26360,26.0,0,1
26.55,True,111427,26.55,0,1
22.525,True,C 4001,22.525,0,0
56.4958,True,1601,56.4958,0,1
7.75,True,382651,7.75,0,1
8.05,True,SOTON/OQ 3101316,8.05,0,0
26.2875,True,PC 17473,26.2875,0,1
29.7,False,PC 17603,59.4,1,1
7.4958,True,349209,7.4958,0,0
34.0208,True,36967,34.0208,0,0
10.5,False,C.A. 34260,10.5,0,1
24.15,True,371110,24.15,0,0
13.0,False,226875,26.0,1,1
7.8958,True,349242,7.8958,0,0
65.6344,False,12749,65.6344,0,1
7.8958,True,349252,7.8958,0,0
7.225,True,2624,7.225,0,0
28.9896,False,111361,57.9792,0,1
7.2292,True,2700,7.2292,0,0
7.75,True,367232,7.75,0,0
10.5,False,W./C. 14258,10.5,0,1
65.6344,True,PC 17483,65.6344,0,0
7.925,True,3101296,7.925,0,0
2.875,True,29104,11.5,2,0
8.666666666666666,False,26360,26.0,1,1
7.2292,True,2641,7.2292,0,0
2.409733333333333,True,2690,7.2292,1,0
7.452766666666666,False,2668,22.3583,0,1
8.6625,False,315084,8.6625,0,0
8.75,False,F.C.C. 13529,26.25,0,1
26.55,True,113050,26.55,0,0
65.6344,False,PC 17761,65.6344,0,1
14.5,True,364498,14.5,0,0
16.5,False,13568,49.5,0,1
21.878133333333334,False,WE/P 5735,65.6344,0,1
4.4678571428571425,False,347082,31.275,4,0
4.4678571428571425,False,347082,31.275,4,0
13.0,True,2908,26.0,1,1
32.8172,True,PC 17761,65.6344,1,0
26.0,True,693,26.0,0,0
13.0,False,2908,26.0,1,1
13.8625,True,SC/PARIS 2146,13.8625,0,1
6.841666666666666,True,363291,20.525,1,0
12.25,True,C.A. 33112,36.75,1,1
21.878133333333334,True,17421,65.6344,0,1
26.0,True,244358,26.0,0,0
7.8292,True,330979,7.8292,0,0
7.225,True,2620,7.225,0,1
7.775,False,347085,7.775,0,1
26.55,True,113807,26.55,0,0
19.8,False,11755,39.6,1,1
65.6344,True,PC 17757,65.6344,0,0
21.878133333333334,False,110413,65.6344,1,1
8.7,False,345572,17.4,1,1
7.75,True,372622,7.75,0,0
7.8958,True,349251,7.8958,0,0
13.5,True,218629,13.5,0,0
8.05,True,SOTON/OQ 392082,8.05,0,0
8.05,False,SOTON/O.Q. 392087,8.05,0,0
8.049999999999999,True,A/4 48871,24.15,2,0
7.8958,True,349205,7.8958,0,0
4.215,False,349909,21.075,0,0
7.2292,True,2686,7.2292,0,0
7.8542,True,350417,7.8542,0,1
10.5,True,S.W./PP 752,10.5,0,1
17.15973333333333,False,11769,51.4792,2,1
26.3875,True,PC 17474,26.3875,0,1
7.75,False,14312,7.75,0,1
8.05,True,A/4. 20589,8.05,0,0
14.5,True,358585,14.5,0,0
13.0,False,243880,13.0,0,1
27.95,False,13507,55.9,1,1
7.22915,False,2689,14.4583,1,0
7.925,True,STON/O 2. 3101286,7.925,0,1
10.0,False,237789,30.0,1,1
21.878133333333334,False,17421,65.6344,1,1
26.0,True,28403,26.0,0,0
40.125,True,13049,40.125,0,0
8.7125,True,3411,8.7125,0,0
21.878133333333334,False,110413,65.6344,0,1
15.0,True,237565,15.0,0,0
21.878133333333334,True,13567,65.6344,1,1
8.05,True,14973,8.05,0,0
8.05,True,A./5. 3235,8.05,0,0
7.125,True,STON/O 2. 3101273,7.125,0,0
32.8172,False,36947,65.6344,1,1
7.25,True,A/5 3902,7.25,0,0
2.5833333333333335,False,364848,7.75,0,0
13.0,True,SC/AH 29037,26.0,1,0
8.049999999999999,True,345773,24.15,1,0
33.0,False,248727,33.0,0,1
0.0,True,LINE,0.0,0,0
7.225,True,2664,7.225,0,0
28.4646,True,PC 17485,56.9292,1,1
6.75,False,243847,27.0,2,1
7.8958,True,349214,7.8958,0,0
42.4,True,113796,42.4,0,0
8.05,True,364511,8.05,0,0
26.55,True,111426,26.55,0,1
7.775,True,349910,15.55,1,0
7.8958,True,349246,7.8958,0,0
30.5,True,113804,30.5,0,1
10.3948,False,SC/Paris 2123,41.5792,1,1
65.6344,False,PC 17582,65.6344,0,1
4.4678571428571425,False,347082,31.275,1,0
7.05,True,SOTON/O.Q. 3101305,7.05,0,0
7.75,False,367230,15.5,1,1
7.75,True,370377,7.75,0,0
8.05,True,364512,8.05,0,0
16.25,False,220845,65.0,1,1
4.8,True,347080,14.4,1,0
8.05,False,A/5. 3336,16.1,1,0
9.75,False,230136,39.0,2,1
10.5,True,31028,10.5,0,0
7.2271,True,2659,14.4542,1,0
26.2771,True,11753,52.5542,1,1
5.247233333333333,True,2653,15.7417,1,1
7.8542,True,350029,7.8542,0,0
16.1,True,54636,16.1,0,0
32.3208,True,36963,32.3208,0,0
12.35,True,219533,12.35,0,0
65.6344,False,13502,65.6344,0,1
7.8958,True,349224,7.8958,0,0
7.7333,True,334912,7.7333,0,0
30.0,True,27042,30.0,0,1
7.0542,True,347743,7.0542,0,0
30.5,True,13214,30.5,0,1
0.0,True,112052,0.0,0,0
4.6499999999999995,False,347088,27.9,3,0
13.0,False,237668,13.0,0,1
7.925,True,STON/O 2. 3101292,7.925,0,0
8.75,True,C.A. 31921,26.25,1,0
6.614583333333333,False,3101295,39.6875,0,0
8.05,True,376564,16.1,1,0
7.8542,True,350050,7.8542,0,0
65.6344,False,PC 17477,65.6344,0,1
4.6499999999999995,False,347088,27.9,3,0
56.4958,True,1601,56.4958,0,1
4.814575,False,2666,19.2583,2,1
32.8172,True,PC 17572,65.6344,1,1
7.8958,True,349231,7.8958,0,0
35.5,True,13213,35.5,0,1
7.55,True,S.O./P.P. 751,7.55,0,0
7.55,False,CA. 2314,7.55,0,1
7.8958,True,349221,7.8958,0,0
11.5,False,231919,23.0,0,1
8.4333,True,8475,8.4333,0,0
7.8292,False,330919,7.8292,0,1
6.75,False,365226,6.75,0,0
21.878133333333334,True,S.O.C. 14879,65.6344,2,0
7.8958,True,349223,7.8958,0,0
5.166666666666667,False,364849,15.5,1,0
13.0,True,29751,13.0,0,0
21.878133333333334,True,35273,65.6344,0,0
21.878133333333334,True,PC 17611,65.6344,2,1
7.225,True,2623,7.225,0,0
25.5875,True,5727,25.5875,0,0
7.4958,True,349210,7.4958,0,0
3.9625,True,STON/O 2. 3101285,7.925,1,1
21.878133333333334,True,S.O.C. 14879,65.6344,2,0
13.0,True,234686,13.0,0,0
7.775,True,312993,7.775,0,0
8.05,True,A/5 3536,8.05,0,0
26.0,False,19996,52.0,1,1
13.0,False,29750,39.0,1,1
26.0,True,F.C. 12750,52.0,1,0
10.5,True,C.A. 24580,10.5,0,0
13.0,True,244270,13.0,0,1
0.0,True,239856,0.0,0,0
7.775,True,349912,7.775,0,0
8.05,True,342826,8.05,0,0
9.8417,False,4138,9.8417,0,1
5.8625,False,CA 2144,46.9,1,0
32.8172,True,PC 17755,65.6344,0,1
8.1375,False,330935,8.1375,0,0
65.6344,True,PC 17572,65.6344,0,1
9.225,True,6563,9.225,0,0
5.8625,True,CA 2144,46.9,5,0
13.0,True,29750,39.0,1,0
10.3948,True,SC/Paris 2123,41.5792,1,0
6.614583333333333,True,3101295,39.6875,4,0
10.1708,True,349228,10.1708,0,0
7.7958,True,350036,7.7958,0,0
32.8172,False,24160,65.6344,0,1
28.5,True,17474,57.0,1,1
6.70835,False,349256,13.4167,0,1
56.4958,True,1601,56.4958,0,1
7.225,True,2672,7.225,0,0
26.55,True,113800,26.55,0,0
13.5,True,248731,13.5,0,0
8.05,True,363592,8.05,0,0
7.7333,False,35852,7.7333,0,1
21.878133333333334,True,17421,65.6344,1,0
7.65,True,348121,7.65,0,0
32.8172,False,PC 17757,65.6344,1,1
26.2875,True,PC 17475,26.2875,0,1
7.2271,False,2691,14.4542,0,0
7.7417,True,36864,7.7417,0,0
3.9271,True,350025,7.8542,1,0
26.0,True,250655,26.0,0,0
